source_id,date_raw,date_parsed,time,location,country,description,references
Magonia_527,1/8/1962,1962-01-08,night,"Catamarca, Argentina",Argentina,"A truck driver and two other men observed two powerful lights lost sight of thern, but later saw a craft on the ground 150 m to the side of the road. It took off at high speed when illuminated by the headlights. Farther away, two objects maneuvered above the road leading to La Bajada. As the police were driving to the scene, they saw one of the craft on the ground near Loma Brava.",CODOVNI 1962 (Vallee)
Magonia_528,2/9/1962,1962-02-09,0330,"Aston Clinton, Great Britain",United Kingdom,"Mr. Wildam, of Luton, noticed that his car was gradually losing speed as he approached a bright, oval thing hovering 10 m above the road. The object was surrounded by a glow, and left at high speed very suddenly.","FSR 62, 2 (Vallee)"
Magonia_529,4/10/1962,1962-04-10,evening,"San Casciano, Italy",Italy,"Mario Zuccula, 27, was walking home when he suddenly felt a current of cold air. He was paralyzed with fear when he saw a white object, 10 m in diameter, metallic in appearance which hovered close to the ground. A metallic cylinder was lowered from the craft, and two little men about 1.30 m tall, came out through a door lighted by a source inside the cylinder. A low voice similar to the sound of an electronic device told him they would return at the end of the fourth moon, one hour before dawn, with a message. The beings had their heads covered with a hood.","FSR 62, 4 (Vallee)"
Magonia_530,4/11/1962,1962-04-11,evening,"Sarouno, Italy",Italy,"Between Saronno and Legnano, Benazzi and three other witnesses saw a peculiar craft fly above them and land on the road. It was intensely luminous.","APRO Sep., 62 (Vallee)"
Magonia_531,4/30/1962,1962-04-30,night,"Mount Eba, Italy",Italy,"Eugenio Siragusa, 43, claimed to have met two men of normal height, clad in diving suits, with belts emitting intermittent yellow-green blue light, who delivered to him a peace message in Italian. The voice had a metallic tone. Also observed was a very dazzling object, 15 m in diameter.","FSR 63, 1 (Vallee)"
Magonia_532,5/1962,1962-05,0400,"Jujuy, Argentina",Argentina,"Approximate date. Four people whose car had run out of gas, were waiting in a drizzling rain when a bright light, first thought to be from a car, approached them. It turned out to be a lowflying object that landed. It was round with a blinking light, and stayed there about one hour before taking off at high speed","APRO Jul., 63 (Vallee)"
Magonia_533,5/12/1962,1962-05-12,0410,"Pampa Province, Argentina",Argentina,"V. and G. Tomasini and H. Zenobi saw an object on the ground 100 m away from the road. It looked like a railroad car and was illuminated. As they came close to it, the object took off, crossed the road at low altitude, rose with a flame, and separated into two sections that flew away in different directions. It made a humming noise and was seen on the ground for one min. Within a circle 60 m in radius, grass was burned, insects were carbonized, and the ground was ""petrified."" Sample analysis was done by the Puerto Belgrano Naval Base.",SBEDV 30; 132; CODOVNI 1962 (Vallee)
Magonia_534,5/13/1962,1962-05-13,0400,"Uncativo, Argentina",Argentina,"Dozens of witnesses in Uncativo, Cordoba, Carranza, and Los Molinos Dam observed a very luminous, elongated object with a bright trail. Soon thereafter, fog filled a wooded section near Uncativo, and a landed object resembling a small house was observed.",133; CODOVNI 1962 (Vallee)
Magonia_535,5/22/1962,1962-05-22,,"Winifreda, Argentina",Argentina,"A woman was hospitalized after her observation of a strange object that landed, and of the ""ugly"" giant beings who emerged from it. Approximate date.",135 (Vallee)
Magonia_536,6/16/1962,1962-06-16,,"Prince of Wales Island, Australia",United Kingdom,"Four persons from Thursday Island, among them E. Thorpe, were climbing a hill when they observed a silvery object on a nearby hillside, less than 2 km away. It could not be located again when they reached the other side of the hill.","FSR 62,5 (Vallee)"
